District, Latitude, Longitude
Ancón,  -11.773878, -77.175335
Ate Vitarte, -12.027778, -76.916667
Barranco, -12.141667, -77.016667
Bellavista, -12.062391, -77.128628
Brena, -12.05916, -77.05059
Callao, -12.052263, -77.139113
Carabayllo, -11.8391, -77.0337
Carmen de la Legua, -12.039444, -77.095278
Chaclacayo, -11.983333, -76.766667
Chorrillos, -12.186389, -77.021111
Cieneguilla, -12.091667, -76.775
Comas, -11.933333, -77.066667
El Agustino, -12.0403, -76.9994
Independencia, -11.9842, -77.0502
Jesus Maria, -12.078333, -77.048056
La Molina, -12.077778, -76.911111
La Perla, -12.06596, -77.108061
La Punta, -12.071389, -77.1625
La Victoria, -12.07233, -77.01739
Lima, -12.046389, -77.042778
Lince, -12.08579, -77.03567
Los Olivos, -11.970278, -77.073889
Lurigancho, -11.93679, -76.69644
Lurin, -12.279167, -76.875
Magdalena del Mar, -12.085, -77.0698
Mi Peru, -11.854167, -77.1225
Miraflores, -12.12091, -77.02893
Pachacamac, -12.2239, -76.8569
Pucusana, -12.48163, -76.79775
Pueblo Libre, -12.0692, -77.0626
Puente Piedra, -11.8731, -77.0647
Punta Hermosa, -12.333333, -76.816667
Punta Negra, -12.368056, -76.797222
Rimac, -12.035278, -77.027222
San Bartolo, -12.3898, -76.7806
San Borja, -12.09755, -76.99521
San Isidro, -12.099167, -77.034722
San Juan de Lurigancho, -12.002222, -77.008333
San Juan de Miraflores, -12.151444, -76.970042
San Luis, -12.075556, -76.996111
San Martin de Porres, -11.980556, -77.097222
San Miguel, -12.077222, -77.092778
Santa Anita, -12.043056, -76.958333
Santa Maria del Mar, -12.40857, -76.76741
Santa Rosa, -11.791667, -77.158333
Santiago de Surco, -12.1398, -76.9961
Surquillo, -12.117222, -77.020556
Ventanilla, -11.855556, -77.073611
Villa el Salvador, -12.21917, -76.94532
Villa Maria del Triunfo, -12.156944, -76.931389
